Listing title,eBay item ID,Current promoted listings status,Quantity available,Total impressions on eBay site,Top 20 search slot impressions from promoted listings,% change in top 20 search slot impressions from promoted listings,Top 20 search slot organic impressions,% change in top 20 search slot impressions,Rest of search slot impressions,Non-search promoted listings impressions,% Change in non-search promoted listings impressions,Non-search organic impressions,% Change in non-search organic impressions,Total promoted listings impressions (applies to eBay site only),Total organic impressions on eBay site,Total page views,Page views via promoted listings impressions on eBay site,"Page views via promoted listings Impressions from outside eBay (search engines, affilliates)",Page views via organic impressions on eBay site,Page views from organic impressions outside eBay (Includes page views from search engines),Click-through rate = Page views from eBay site/Total impressions,Quantity sold,Sales conversion rate = Quantity sold/Total page views
Car Trash Can Bin Waterproof Foldable Garbage Bags Hanging Trash Can Car Truck,403853491149,Promoted,10,327,3,200.00%,10,225.00%,122,84,20.00%,108,-28.90%,93,234,2,0,0,2,0,0.60%,0,0.00%
5Pcs Car Detailing Brush Set For Wheels Tire Interior Exterior Leather Air Vents,403856482823,Promoted,10,435,0,-100.00%,17,-55.30%,135,207,-43.60%,76,-23.20%,215,220,0,0,0,0,0,0.00%,0,-
4PCS Universal LED Motorcycle Blinker Turn Signal Light 12v IP68 Waterproof,403856495796,Promoted,10,110,0,-,0,-100.00%,7,73,-17.00%,30,-60.50%,73,37,0,0,0,0,0,0.00%,0,-
Bluetooth Earphones Cleaning Kit For Airpods Earbuds Cleaning Tool,403864101424,Promoted,10,58,0,-,0,-,20,27,-15.60%,11,-21.40%,28,30,0,0,0,0,0,0.00%,0,-
6PCS ESD Anti-Static Stainless Steel Precision Tweezers Electronic Tweezer Set,403864121426,Promoted,10,401,0,-,4,100.00%,37,277,4.90%,83,-29.70%,277,124,1,0,0,0,1,0.00%,0,0.00%
ESD Heat-Resistant Working Mat Soldering Station Mat For Phone Computer Repair,403864138182,Promoted,10,544,3,-25.00%,26,20.80%,126,247,-18.20%,142,61.40%,261,283,7,1,0,6,0,1.30%,0,0.00%
Car Washing Snow Foam Bottle Lance Foam Cannon For High-Pressure Power Washers,403868475342,Promoted,10,"1,351",5,-75.00%,80,-36.10%,410,374,-49.30%,482,-16.80%,385,966,3,1,0,2,0,0.20%,0,0.00%
"Snow Foam Car Washer Spray Nozzles Set M22 1/4"" Quick Release Connector",403868475343,Promoted,10,466,17,466.70%,25,-25.00%,218,79,-16.00%,127,-36.80%,126,340,2,2,0,0,0,0.40%,0,0.00%
Carbon Fiber Blocking Slim Money Clip RFID Card Holder Metal Men Wallet Gift,403881347258,Promoted,10,211,0,-,1,-,33,122,-20.80%,55,-47.10%,126,85,1,1,0,0,0,0.50%,0,0.00%
LED Chlidren Night Light Cute Bun Dumpling Cartoon Soft Silicone Night Lamp for,403938219097,Promoted,10,"1,026",10,150.00%,28,100.00%,29,602,-26.10%,357,-14.00%,615,411,0,0,0,0,0,0.00%,0,-
500ml Glass Oil & Vinegar Dispenser Oil Measuring Bottle Kitchen Diet Meal Prep,403940664449,Promoted,10,466,1,-,3,-42.90%,27,421,87.10%,14,-39.10%,428,38,2,2,0,0,0,0.40%,0,0.00%
ANENG XL830L Digital Multimeter AC DC Voltmeter Ammeter Ohmmeter Volt Tester,403970378760,Promoted,10,443,0,-100.00%,12,100.00%,91,324,121.90%,16,-40.70%,326,117,1,0,0,1,0,0.20%,0,0.00%
Digital Multimeter Tester AC DC Volt Ohm Amp Clamp Meter Auto Range LCD Handheld,403970378761,Promoted,10,818,2,100.00%,3,-54.50%,98,587,85.80%,128,100.00%,595,223,1,1,0,0,0,0.10%,0,0.00%
Smart Digital Laser Tape Measure 100ft/30m Smart Tape Measure Distance Meter,403973486287,Promoted,10,679,9,-10.00%,9,38.50%,93,518,51.50%,50,-5.70%,570,109,0,0,0,0,0,0.00%,0,-
900Miles Green Laser Pointer Pen 532nm Rechargeable 1mw Lazer Battery & Charger,403973528225,Promoted,10,818,0,-100.00%,5,66.70%,95,682,96.50%,36,56.50%,688,130,31,0,4,1,26,0.10%,0,0.00%
"Handheld RGB Stick Fill Light 20"" CRI 95+ 2500K-9000K Photography Studio Light",404007807730,Promoted,10,493,9,-10.00%,37,-41.80%,93,151,-68.50%,203,-60.60%,181,312,5,0,0,0,5,0.00%,0,0.00%
Magnetic Action Camera Quick Release Bracket For GoPro Hero 11 10 9 8,404007826352,Promoted,10,"3,678",18,-37.90%,32,-15.30%,161,"3,339",177.60%,128,-38.20%,"3,392",286,5,4,0,1,0,0.10%,0,0.00%
